Timestamp,When do you usually study the most? ,"On average, how many hours do you study per day?  ",What is your current GPA?,What is your current year of study? ,How many hours do you sleep on average per night?  ,Do you believe your study time (day/night) affects your academic performance? 
4/4/2026 23:30:31,Night (6 PM – 12 AM),1–2 hours,Below 2.0,Second Year,Less than 5 hours,Not sure
4/4/2026 23:34:31,Afternoon (12 PM – 6 PM),1–2 hours,2.0–2.5,Second Year,7–8 hours,Yes
4/4/2026 23:39:13,Night (6 PM – 12 AM),5+ hours,3.0–3.5,Second Year,6–7 hours,Yes
4/4/2026 23:40:14,Night (6 PM – 12 AM),1–2 hours,3.0–3.5,Second Year,5–6 hours,Yes
4/4/2026 23:40:44,Afternoon (12 PM – 6 PM),3–4 hours,3.0–3.5,Second Year,6–7 hours,Not sure
4/4/2026 23:41:12,Night (6 PM – 12 AM),5+ hours,3.0–3.5,First Year,More than 8 hours,Yes
4/4/2026 23:42:12,Night (6 PM – 12 AM),3–4 hours,Below 2.0,Second Year,6–7 hours,Not sure
4/4/2026 23:44:46,Morning (6 AM – 12 PM),1–2 hours,3.5–4.0,Second Year,6–7 hours,Not sure
4/4/2026 23:46:09,Night (6 PM – 12 AM),3–4 hours,2.5–3.0,Third Year,6–7 hours,No
4/4/2026 23:53:12,Morning (6 AM – 12 PM),3–4 hours,3.0–3.5,Second Year,Less than 5 hours,Yes
4/4/2026 23:54:29,Late Night (12 AM – 6 AM),3–4 hours,3.0–3.5,Second Year,7–8 hours,Yes
4/4/2026 23:55:48,Morning (6 AM – 12 PM),1–2 hours,2.0–2.5,Second Year,7–8 hours,Yes
4/5/2026 0:03:25,Night (6 PM – 12 AM),5+ hours,3.0–3.5,Second Year,6–7 hours,No
4/5/2026 0:06:41,Morning (6 AM – 12 PM),3–4 hours,3.5–4.0,Third Year,7–8 hours,No
4/5/2026 0:07:10,Late Night (12 AM – 6 AM),5+ hours,3.5–4.0,Fourth Year,7–8 hours,Not sure
4/5/2026 0:07:52,Afternoon (12 PM – 6 PM),3–4 hours,3.5–4.0,First Year,7–8 hours,Yes
4/5/2026 0:10:54,Late Night (12 AM – 6 AM),3–4 hours,2.0–2.5,Second Year,6–7 hours,Not sure
4/5/2026 0:17:47,Night (6 PM – 12 AM),3–4 hours,2.0–2.5,Second Year,5–6 hours,Yes
4/5/2026 0:19:32,Night (6 PM – 12 AM),Less than 1 hour,Below 2.0,First Year,5–6 hours,Not sure
4/5/2026 0:20:38,Night (6 PM – 12 AM),1–2 hours,Below 2.0,Second Year,7–8 hours,Not sure
4/5/2026 0:28:03,Late Night (12 AM – 6 AM),1–2 hours,Below 2.0,Second Year,7–8 hours,Not sure
4/5/2026 0:28:07,Night (6 PM – 12 AM),3–4 hours,3.0–3.5,Third Year,6–7 hours,Not sure
4/5/2026 0:28:12,Night (6 PM – 12 AM),3–4 hours,3.0–3.5,Third Year,6–7 hours,Not sure
4/5/2026 0:28:49,Night (6 PM – 12 AM),3–4 hours,3.0–3.5,Fourth Year,6–7 hours,No
4/5/2026 0:28:54,Night (6 PM – 12 AM),3–4 hours,3.0–3.5,Fourth Year,6–7 hours,No
4/5/2026 0:29:14,Night (6 PM – 12 AM),3–4 hours,3.0–3.5,Third Year,6–7 hours,No
4/5/2026 0:36:59,Late Night (12 AM – 6 AM),3–4 hours,3.0–3.5,Third Year,5–6 hours,No
4/5/2026 0:41:14,Night (6 PM – 12 AM),1–2 hours,2.5–3.0,Second Year,6–7 hours,Yes
4/5/2026 0:49:06,Night (6 PM – 12 AM),1–2 hours,Below 2.0,Second Year,7–8 hours,No
4/5/2026 0:53:49,Afternoon (12 PM – 6 PM),3–4 hours,3.0–3.5,Second Year,7–8 hours,Yes
4/5/2026 1:10:36,Afternoon (12 PM – 6 PM),3–4 hours,Below 2.0,First Year,5–6 hours,Yes
